Latitude,Longitude,Site ID
38.6412,-75.611,433
40.7985,-74.0565,614
39.7662,-75.1442,124
41.3971,-73.0748,458
40.2842,-84.1555,169
42.3057,-71.5245,423
34.9496,-81.932,620
39.9242,-83.8088,153
42.0807,-70.9356,419
36.12,-97.06,#N/A
37.9577,-121.2908,430
42.6836,-94.534,612
34.1008,-117.7678,746
33.7879,-117.8531,338
34.2694,-118.7815,301
33.4152,-111.8315,550
34.4562,-118.5714,759
34.0122,-117.6889,341
33.5685,-117.7263,334
36.1699,-115.1398,499
34.1654,-118.609,742
38.5816,-121.4944,628
27.8006,-97.3964,723
33.4936,-117.1484,302
33.4484,-112.074,582
42.3265,-122.8756,683
39.7817,-89.6501,684
33.8366,-117.9143,326
36.0395,-114.9817,471
31.5455,-110.2773,551
42.11,-88.03,837
33.7475,-116.972,729
35.2271,-80.8431,500
44.06,-121.32,685
36.1699,-115.1398,470
41.8661,-88.107,857
33.4484,-112.074,571
42.3703,-87.902,851
42.03,-88.08,839
34.1478,-118.1445,363
33.6832,-117.6664,346
42.0451,-87.6877,852
41.3275,-89.129,665
41.89,-87.99,840
35.7915,-78.7811,483
35.9382,-77.7905,484
35.3849,-77.9928,501
35.4107,-80.8429,502
39.3698,-76.4549,362
39.0068,-76.7791,316
35.6127,-77.3664,503
34.0686,-117.939,745
33.037,-117.292,730
32.814,-96.9489,467
33.2,-117.2425,317
34.0007,-81.0348,344
39.4195,-76.7803,364
36.0999,-80.2442,485
35.7796,-78.6382,504
35.2271,-80.8431,505
35.2271,-80.8431,506
34.2104,-77.8868,507
39.9537,-74.1979,877
42.2411,-88.3162,853
42.0778,-87.8223,854
42.18,-87.8,868
36.1699,-115.1398,508
35.7345,-81.3445,486
34.8526,-82.394,564
40.2859,-74.3486,728
40.3968,-74.0916,718
34.5034,-82.6501,563
36.1699,-115.1398,509
33.3528,-111.789,666
39.1638,-119.7674,510
39.4812,-76.6439,365
34.1899,-118.4514,#N/A
34.1478,-118.1445,337
41.9161,-72.5579,719
41.8239,-79.6837,561
33.5806,-112.2374,549
34.9249,-81.0251,667
40.248,-74.0298,717
33.8704,-117.9242,339
33.4152,-111.8315,586
34.1954,-79.7626,562
36.1699,-115.1398,475
32.8384,-116.9739,321
40.8201,-74.3647,743
35.9799,-78.5097,511
32.8092,-97.2317,559
36.1699,-115.1398,512
34.2856,-118.882,327
33.1507,-96.8236,556
33.0198,-96.6989,557
32.8235,-97.1706,554
32.7555,-97.3308,461
39.6133,-105.0166,#N/A
32.7767,-96.797,560
35.2271,-80.8431,513
42.17,-88.29,838
36.3302,-119.2921,330
30.3061,-97.9524,668
32.6401,-117.0842,345
33.6634,-116.31,754
34.7371,-82.2543,532
41.52,-88.2017,855
41.7698,-87.9359,856
35.7327,-78.8503,514
41.2043,-73.7271,756
33.4152,-111.8315,670
33.3528,-111.789,671
39.3343,-76.4394,366
35.4662,-82.5167,515
41.51,-87.97,861
38.5293,-76.9753,322
32.2226,-110.9747,553
33.2148,-97.1331,672
36.1699,-115.1398,755
33.2,-117.2425,333
44.9537,-93.09,367
32.9029,-96.5639,558
38.9784,-76.4922,368
30.2672,-97.7431,#N/A
33.9425,-117.2297,673
38.7743,-76.0763,329
33.5387,-112.186,552
33.4484,-112.074,674
39.6954,-74.2588,727
35.0071,-80.6745,487
36.0395,-114.9817,473
30.2672,-97.7431,145
33.8366,-117.9143,332
36.3302,-119.2921,342
33.6971,-117.1853,325
30.4548,-97.6223,518
33.1032,-96.6706,555
35.2621,-81.1873,488
36.0395,-114.9817,472
36.1699,-115.1398,474
32.7668,-96.5992,466
39.067,-76.6655,340
33.4274,-117.6126,343
33.3062,-111.8413,675
34.2,-119.18,336
37.9735,-122.5311,146
35.7915,-78.7811,489
40.8534,-73.4115,#N/A
45.4,-92.65,639
45.4,-92.65,640
45.4,-92.65,641
45.4,-92.65,642
45.4,-92.65,643
35.1322,-118.449,397
31.0982,-97.3428,517
31.0982,-97.3428,323
40.3043,-74.1004,143
41.6528,-83.5379,150
41.6528,-83.5379,203
41.6528,-83.5379,125
33.8358,-118.3406,449
33.8358,-118.3706,721
37.7397,-121.4252,575
39.4809,-84.4577,221
40.0395,-84.2033,158
32.2226,-110.9747,591
34.4562,-118.5714,725
34.5362,-117.2928,410
43.13,-90.5,545
43.13,-90.5,537
39.5374,-83.4376,224
41.5582,-73.0515,393
32.3865,-96.8483,324
40.8896,-74.2598,116
39.3321,-84.4173,207
34.0686,-117.939,413
41.2705,-72.947,398
34.1061,-117.372,#N/A
34.1061,-117.372,464
42.2181,-70.941,391
42.2181,-70.941,411
43.51,-87.45,547
43.51,-87.45,568
39.9667,-82.8855,170
42.0807,-70.9356,422
33.9792,-118.0328,384
41.7107,-72.2081,395
41.8526,-72.6437,331
36.0999,-80.2442,497
42.2626,-71.8023,424
42.2571,-71.8571,427
33.0151,-96.5389,328
39.6848,-83.9297,226
39.17,-87.64,#N/A
